29-03-2020@04:00:54 | INFO | Took 21.07244086265564 to get 245 tweets
29-03-2020@04:00:54 | INFO | Took 0.013529777526855469 to remove duplicates from tweets list
29-03-2020@04:00:54 | INFO | Took 0.0010704994201660156 to sort tweets by date likes and retweets
29-03-2020@04:00:54 | INFO | Took 0.0019516944885253906 to clean tweets
29-03-2020@04:00:57 | INFO | Took 0.00020885467529296875 to write and upload tweets to s3. Upload path Joker Job.txt
29-03-2020@04:00:57 | INFO | Took 0.013145208358764648 to get highest likes_and_retweets list
29-03-2020@04:13:45 | INFO | Took 39.6704626083374 to get 245 tweets
29-03-2020@04:13:45 | INFO | Took 0.0061092376708984375 to remove duplicates from tweets list
29-03-2020@04:13:45 | INFO | Took 0.0006489753723144531 to sort tweets by date likes and retweets
29-03-2020@04:13:45 | INFO | Took 0.002918243408203125 to clean tweets
29-03-2020@04:13:53 | INFO | Took 0.00037217140197753906 to write and upload tweets to s3. Upload path #JokerJob.txt
29-03-2020@04:13:53 | INFO | Took 0.002633333206176758 to get highest likes_and_retweets list
29-03-2020@04:19:34 | INFO | Took 72.88368535041809 to get 245 tweets
29-03-2020@04:19:34 | INFO | Took 0.007166624069213867 to remove duplicates from tweets list
29-03-2020@04:19:34 | INFO | Took 0.0006802082061767578 to sort tweets by date likes and retweets
29-03-2020@04:19:34 | INFO | Took 0.0017848014831542969 to clean tweets
29-03-2020@04:19:34 | INFO | Took 0.0017790794372558594 to get highest likes_and_retweets list
29-03-2020@04:21:17 | INFO | Took 16.72580623626709 to get 245 tweets
29-03-2020@04:21:17 | INFO | Took 0.0050182342529296875 to remove duplicates from tweets list
29-03-2020@04:21:17 | INFO | Took 0.0006358623504638672 to sort tweets by date likes and retweets
29-03-2020@04:21:17 | INFO | Took 0.0018126964569091797 to clean tweets
29-03-2020@04:21:19 | INFO | Took 0.0001442432403564453 to write and upload tweets to s3. Upload path #JokerJob.txt
29-03-2020@04:21:19 | INFO | Took 0.0051615238189697266 to get highest likes_and_retweets list
29-03-2020@22:08:10 | INFO | Took 17.89392614364624 to get 245 tweets
29-03-2020@22:08:10 | INFO | Took 0.012024641036987305 to remove duplicates from tweets list
29-03-2020@22:08:10 | INFO | Took 0.0013594627380371094 to sort tweets by date likes and retweets
29-03-2020@22:08:10 | INFO | Took 0.0027189254760742188 to clean tweets
29-03-2020@22:08:11 | INFO | Took 0.00018286705017089844 to write and upload tweets to s3. Upload path JokerJob.txt
29-03-2020@22:08:11 | INFO | Took 0.015393257141113281 to get highest likes_and_retweets list
29-03-2020@22:08:12 | INFO | New sentiment analysis job has started, with the following info {'job_name': 'JokerJob', 'job_id': '0419d7a08cc64deb50ddefb40eee6994', 'out_path': 'SA-Outputs/302740440137-SENTIMENT-0419d7a08cc64deb50ddefb40eee6994/output/output.tar.gz', 'start_time': datetime.datetime(2020, 3, 29, 22, 8, 12, 403000, tzinfo=tzlocal())}
30-03-2020@07:40:16 | INFO | Took 15.084749937057495 to get 244 tweets
30-03-2020@07:40:16 | INFO | Took 0.00961613655090332 to remove duplicates from tweets list
30-03-2020@07:40:16 | INFO | Took 0.00118255615234375 to sort tweets by date likes and retweets
30-03-2020@07:40:16 | INFO | Took 0.00217437744140625 to clean tweets
30-03-2020@07:40:17 | INFO | Took 0.0001800060272216797 to write and upload tweets to s3. Upload path JokerJob.txt
30-03-2020@07:40:17 | INFO | Took 0.03198814392089844 to get highest likes_and_retweets list
30-03-2020@07:42:26 | INFO | Took 14.647737979888916 to get 244 tweets
30-03-2020@07:42:26 | INFO | Took 0.00664520263671875 to remove duplicates from tweets list
30-03-2020@07:42:26 | INFO | Took 0.0011005401611328125 to sort tweets by date likes and retweets
30-03-2020@07:42:26 | INFO | Took 0.004303932189941406 to clean tweets
30-03-2020@07:42:27 | INFO | Took 0.0002460479736328125 to write and upload tweets to s3. Upload path JokerJob.txt
30-03-2020@07:42:27 | INFO | Took 0.0038268566131591797 to get highest likes_and_retweets list
30-03-2020@07:44:16 | INFO | Took 15.50767970085144 to get 244 tweets
30-03-2020@07:44:16 | INFO | Took 0.004179716110229492 to remove duplicates from tweets list
30-03-2020@07:44:16 | INFO | Took 0.0005609989166259766 to sort tweets by date likes and retweets
30-03-2020@07:44:16 | INFO | Took 0.0018384456634521484 to clean tweets
30-03-2020@07:44:17 | INFO | Took 0.00014495849609375 to write and upload tweets to s3. Upload path JokerJob.txt
30-03-2020@07:44:17 | INFO | Took 0.0025489330291748047 to get highest likes_and_retweets list
30-03-2020@07:45:52 | INFO | Took 14.401279926300049 to get 244 tweets
30-03-2020@07:45:52 | INFO | Took 0.006395101547241211 to remove duplicates from tweets list
30-03-2020@07:45:52 | INFO | Took 0.0009181499481201172 to sort tweets by date likes and retweets
30-03-2020@07:45:52 | INFO | Took 0.0018906593322753906 to clean tweets
30-03-2020@07:45:53 | INFO | Took 0.00015497207641601562 to write and upload tweets to s3. Upload path JokerJob.txt
